==3100== Memcheck, a memory error detector
Current Savings Balance for 8255171551994747: 3285501.40
Current Savings Balance for 2076962079974167: 4217718.44
Current Savings Balance for 4659001911688512: 559185.64
Current Savings Balance for 6847226299857821: 339511.29
Current Savings Balance for 3491588839892013: 4031047.17
Current Savings Balance for 2076962079974167: 4215122.16
Current Savings Balance for 3491588839892013: 4031462.90
Current Savings Balance for 1093278990669429: 1053595.80
Current Savings Balance for 4659001911688512: 559218.72
Current Savings Balance for 1093278990669429: 1055803.95
Current Savings Balance for 1093278990669429: 1056189.35
Current Savings Balance for 6847226299857821: 349762.56
Current Savings Balance for 2076962079974167: 4204541.23
Current Savings Balance for 8028716243309826: 1540303.89
Current Savings Balance for 7966380955913694: 3033015.59
Current Savings Balance for 8028716243309826: 1540303.89
Current Savings Balance for 3491588839892013: 4028166.84
Current Savings Balance for 9980216556183046: 2242132.49
Current Savings Balance for 8255171551994747: 3290723.31
Current Savings Balance for 8255171551994747: 3289824.04
Current Savings Balance for 3491588839892013: 4029050.51
Current Savings Balance for 0793710490620664: 4652177.92
Current Savings Balance for 6847226299857821: 351457.38
Current Savings Balance for 4659001911688512: 564677.25
Current Savings Balance for 8255171551994747: 3285142.01
Current Savings Balance for 8028716243309826: 1538979.49
Current Savings Balance for 1093278990669429: 1059041.24
Current Savings Balance for 9980216556183046: 2245050.77
Current Savings Balance for 3491588839892013: 4030772.11
Current Savings Balance for 0793710490620664: 4653846.59
Current Savings Balance for 9980216556183046: 2242452.96
Current Savings Balance for 4659001911688512: 565179.40
Current Savings Balance for 1093278990669429: 1055757.03
Current Savings Balance for 8255171551994747: 3283103.44
Current Savings Balance for 8255171551994747: 3282804.30
Current Savings Balance for 1093278990669429: 1055153.81
Current Savings Balance for 0793710490620664: 4655889.10
Current Savings Balance for 1093278990669429: 1059616.76
Current Savings Balance for 9980216556183046: 2240800.09
Current Savings Balance for 1093278990669429: 1059777.52
Current Savings Balance for 3491588839892013: 4029399.18
Current Savings Balance for 8028716243309826: 1526921.68
Current Savings Balance for 0793710490620664: 4654676.71
Current Savings Balance for 4659001911688512: 576077.73
Current Savings Balance for 2076962079974167: 4196211.22
Current Savings Balance for 0793710490620664: 4652243.02
Current Savings Balance for 7966380955913694: 3014366.64
Current Savings Balance for 8028716243309826: 1529769.28
Current Savings Balance for 4659001911688512: 572919.46
Current Savings Balance for 9980216556183046: 2244531.05
Current Savings Balance for 1093278990669429: 1059157.11
Current Savings Balance for 3491588839892013: 4028868.45
Current Savings Balance for 8255171551994747: 3280247.45
Current Savings Balance for 7966380955913694: 3018774.50
Current Savings Balance for 8255171551994747: 3280152.85
Current Savings Balance for 8028716243309826: 1529433.44
Current Savings Balance for 7966380955913694: 3013744.01
Current Savings Balance for 0793710490620664: 4650180.12
Current Savings Balance for 3491588839892013: 4023530.87
Current Savings Balance for 2076962079974167: 4187331.26
Current Savings Balance for 4659001911688512: 578449.59
Current Savings Balance for 1093278990669429: 1063632.58
Current Savings Balance for 6847226299857821: 359482.00
Current Savings Balance for 8255171551994747: 3275615.77
Current Savings Balance for 8255171551994747: 3277504.99
Current Savings Balance for 3491588839892013: 4018995.06
Current Savings Balance for 2076962079974167: 4185359.41
Current Savings Balance for 9980216556183046: 2236522.03
Current Savings Balance for 9980216556183046: 2234032.72
Current Savings Balance for 9980216556183046: 2234840.19
Current Savings Balance for 1093278990669429: 1066171.93
Current Savings Balance for 9980216556183046: 2232978.63
Current Savings Balance for 7966380955913694: 3016276.59
Current Savings Balance for 3491588839892013: 4013581.41
Current Savings Balance for 0793710490620664: 4646081.24
Current Savings Balance for 8255171551994747: 3278247.75
Current Savings Balance for 8255171551994747: 3278371.80
Current Savings Balance for 6847226299857821: 367839.57
Current Savings Balance for 2076962079974167: 4175282.90
Current Savings Balance for 2076962079974167: 4175282.90
Current Savings Balance for 7966380955913694: 3014374.78
Current Savings Balance for 3491588839892013: 4011209.81
Current Savings Balance for 4659001911688512: 576335.44
Current Savings Balance for 2076962079974167: 4173970.11
Current Savings Balance for 8255171551994747: 3277266.04
Current Savings Balance for 8255171551994747: 3277001.72
Current Savings Balance for 0793710490620664: 4644053.68
Current Savings Balance for 8255171551994747: 3278191.80
Current Savings Balance for 1093278990669429: 1067208.06
Current Savings Balance for 1093278990669429: 1069019.30
Current Savings Balance for 8255171551994747: 3279152.98
Current Savings Balance for 8028716243309826: 1530142.91
Current Savings Balance for 0793710490620664: 4641626.08
Current Savings Balance for 4659001911688512: 579199.43
Current Savings Balance for 8255171551994747: 3277335.13
Current Savings Balance for 0793710490620664: 4640024.33
Current Savings Balance for 2076962079974167: 4168738.17
Current Savings Balance for 3491588839892013: 4010339.09
Current Savings Balance for 6847226299857821: 383340.08
Current Savings Balance for 4659001911688512: 579867.39
Current Savings Balance for 3491588839892013: 4012963.51
Current Savings Balance for 6847226299857821: 385814.92
Current Savings Balance for 8028716243309826: 1534843.29
Current Savings Balance for 4659001911688512: 581236.85
Current Savings Balance for 3491588839892013: 4011258.40
Current Savings Balance for 3491588839892013: 4012377.94
Current Savings Balance for 2076962079974167: 4162184.56
Current Savings Balance for 2076962079974167: 4162042.23
Current Savings Balance for 8255171551994747: 3274313.09
Current Savings Balance for 1093278990669429: 1069123.46
Current Savings Balance for 1093278990669429: 1067290.63
Current Savings Balance for 6847226299857821: 390868.94
Current Savings Balance for 8255171551994747: 3271131.93
Current Savings Balance for 0793710490620664: 4638478.78
Current Savings Balance for 3491588839892013: 4010317.83
Current Savings Balance for 8028716243309826: 1538350.15
Current Savings Balance for 1093278990669429: 1070216.22
Current Savings Balance for 9980216556183046: 2240956.45
Current Savings Balance for 8028716243309826: 1539747.95
Current Savings Balance for 3491588839892013: 4016336.89
Current Savings Balance for 9980216556183046: 2238658.49
Current Savings Balance for 0793710490620664: 4639724.84
Current Savings Balance for 8255171551994747: 3261586.16
Current Savings Balance for 1093278990669429: 1063873.70
Current Savings Balance for 9980216556183046: 2241513.95
Current Savings Balance for 0793710490620664: 4641315.32
Current Savings Balance for 3491588839892013: 4018183.85
Current Savings Balance for 2076962079974167: 4147185.28
Current Savings Balance for 6847226299857821: 404335.26
Current Savings Balance for 1093278990669429: 1067050.97
Current Savings Balance for 8255171551994747: 3260875.40
Current Savings Balance for 3491588839892013: 4013682.81
Current Savings Balance for 8028716243309826: 1542824.71
Current Savings Balance for 8028716243309826: 1542824.71
Current Savings Balance for 4659001911688512: 582077.98
Current Savings Balance for 6847226299857821: 407054.05
Current Savings Balance for 9980216556183046: 2226705.81
Current Savings Balance for 2076962079974167: 4130772.34
Current Savings Balance for 7966380955913694: 3000169.30
Current Savings Balance for 7966380955913694: 2997146.99
Current Savings Balance for 8028716243309826: 1545004.64
Current Savings Balance for 7966380955913694: 2997982.20
Current Savings Balance for 8255171551994747: 3259793.80
Current Savings Balance for 2076962079974167: 4128240.22
Current Savings Balance for 1093278990669429: 1072410.93
Current Savings Balance for 8028716243309826: 1545004.64
Current Savings Balance for 8028716243309826: 1545004.64
Current Savings Balance for 4659001911688512: 584982.33
Current Savings Balance for 7966380955913694: 3000052.66
Current Savings Balance for 1093278990669429: 1071237.58
Current Savings Balance for 9980216556183046: 2234326.07
Current Savings Balance for 4659001911688512: 585833.18
Current Savings Balance for 9980216556183046: 2234456.01
Current Savings Balance for 1093278990669429: 1069381.16
Current Savings Balance for 1093278990669429: 1065964.45
Current Savings Balance for 4659001911688512: 587284.83
Current Savings Balance for 0793710490620664: 4643616.18
Current Savings Balance for 6847226299857821: 404048.98
Current Savings Balance for 1093278990669429: 1061863.94
Current Savings Balance for 8028716243309826: 1545670.42
Current Savings Balance for 4659001911688512: 587142.02
Current Savings Balance for 6847226299857821: 405565.93
Current Savings Balance for 0793710490620664: 4639041.14
Current Savings Balance for 2076962079974167: 4127412.08
Current Savings Balance for 8255171551994747: 3258319.95
Current Savings Balance for 4659001911688512: 587547.47
Current Savings Balance for 9980216556183046: 2252752.46
Current Savings Balance for 8255171551994747: 3256384.34
Current Savings Balance for 2076962079974167: 4122877.55
Current Savings Balance for 1093278990669429: 1061611.78
Current Savings Balance for 8255171551994747: 3256258.78
Current Savings Balance for 4659001911688512: 592294.48
Current Savings Balance for 7966380955913694: 3002052.97
Current Savings Balance for 0793710490620664: 4636603.36
Current Savings Balance for 3491588839892013: 4008434.70
Current Savings Balance for 7966380955913694: 3002483.64
Current Savings Balance for 7966380955913694: 3002483.64
Current Savings Balance for 2076962079974167: 4121161.52
Current Savings Balance for 4659001911688512: 591469.84
Current Savings Balance for 1093278990669429: 1062956.74
Current Savings Balance for 8028716243309826: 1541768.25
Current Savings Balance for 0793710490620664: 4636336.54
Current Savings Balance for 0793710490620664: 4636336.54
Current Savings Balance for 7966380955913694: 3002831.30
Current Savings Balance for 8255171551994747: 3255144.43
Current Savings Balance for 0793710490620664: 4633892.26
Current Savings Balance for 8028716243309826: 1541108.10
Current Savings Balance for 9980216556183046: 2249790.06
Current Savings Balance for 8028716243309826: 1541217.71
Current Savings Balance for 1093278990669429: 1064475.80
Current Savings Balance for 1093278990669429: 1066175.75
Current Savings Balance for 0793710490620664: 4638479.30
Current Savings Balance for 6847226299857821: 409234.34
Current Savings Balance for 4659001911688512: 589618.50
Current Savings Balance for 8255171551994747: 3255802.71
Current Savings Balance for 6847226299857821: 406522.52
Current Savings Balance for 4659001911688512: 588767.19
Current Savings Balance for 6847226299857821: 406669.39
Current Savings Balance for 0793710490620664: 4639052.12
Current Savings Balance for 4659001911688512: 588250.54
Current Savings Balance for 7966380955913694: 3002763.89
Current Savings Balance for 9980216556183046: 2253676.30
Current Savings Balance for 8255171551994747: 3257443.08
Current Savings Balance for 3491588839892013: 4010209.84
Current Savings Balance for 8255171551994747: 3259536.17
Current Savings Balance for 1093278990669429: 1067649.37
Current Savings Balance for 3491588839892013: 4009440.57
Current Savings Balance for 0793710490620664: 4643081.66
Current Savings Balance for 1093278990669429: 1066626.70
Current Savings Balance for 7966380955913694: 3002203.99
Current Savings Balance for 0793710490620664: 4645196.02
Current Savings Balance for 8028716243309826: 1545068.93
Current Savings Balance for 0793710490620664: 4643749.09
Current Savings Balance for 9980216556183046: 2262678.56
Current Savings Balance for 2076962079974167: 4110893.12
Current Savings Balance for 6847226299857821: 411998.84
Current Savings Balance for 8255171551994747: 3258013.96
Current Savings Balance for 1093278990669429: 1063951.20
Current Savings Balance for 8028716243309826: 1543350.86
Current Savings Balance for 7966380955913694: 2995277.34
Current Savings Balance for 2076962079974167: 4104155.17
Current Savings Balance for 6847226299857821: 416758.43
Current Savings Balance for 7966380955913694: 2994678.69
Current Savings Balance for 2076962079974167: 4103981.44
Current Savings Balance for 8255171551994747: 3259268.20
Current Savings Balance for 9980216556183046: 2260672.73
Current Savings Balance for 2076962079974167: 4094362.65
Current Savings Balance for 8028716243309826: 1546584.95
Current Savings Balance for 3491588839892013: 4009869.87
Current Savings Balance for 1093278990669429: 1064010.73
Current Savings Balance for 9980216556183046: 2257537.78
Current Savings Balance for 9980216556183046: 2256920.84
Current Savings Balance for 8255171551994747: 3261091.55
Current Savings Balance for 8028716243309826: 1549976.38
Current Savings Balance for 9980216556183046: 2253742.36
Current Savings Balance for 2076962079974167: 4090203.45
Current Savings Balance for 8255171551994747: 3260672.13
Current Savings Balance for 8255171551994747: 3262556.47
Current Savings Balance for 0793710490620664: 4640388.63
Current Savings Balance for 8028716243309826: 1550325.76
Current Savings Balance for 7966380955913694: 2987558.92
Current Savings Balance for 6847226299857821: 429422.43
Current Savings Balance for 6847226299857821: 429422.43
Current Savings Balance for 0793710490620664: 4636337.10
Current Savings Balance for 4659001911688512: 589301.24
Current Savings Balance for 1093278990669429: 1066469.78
Current Savings Balance for 3491588839892013: 4002826.54
Current Savings Balance for 4659001911688512: 590064.29
Current Savings Balance for 8255171551994747: 3263413.28
Current Savings Balance for 8028716243309826: 1547677.76
Current Savings Balance for 6847226299857821: 442668.37
Current Savings Balance for 3491588839892013: 3997620.05
Current Savings Balance for 1093278990669429: 1060333.67
Current Savings Balance for 8255171551994747: 3261019.52
Current Savings Balance for 8255171551994747: 3261019.52
Current Savings Balance for 2076962079974167: 4089031.33
Current Savings Balance for 8255171551994747: 3261019.52
Current Savings Balance for 3491588839892013: 3996573.09
Current Savings Balance for 7966380955913694: 2994038.54
Current Savings Balance for 4659001911688512: 589756.15
Current Savings Balance for 8028716243309826: 1547021.17
Current Savings Balance for 3491588839892013: 3993033.00
Current Savings Balance for 7966380955913694: 2994361.29
Current Savings Balance for 1093278990669429: 1069158.24
Current Savings Balance for 7966380955913694: 2991807.04
Current Savings Balance for 6847226299857821: 438506.96
Current Savings Balance for 4659001911688512: 589791.76
Current Savings Balance for 8255171551994747: 3262907.74
Current Savings Balance for 8255171551994747: 3265091.49
Current Savings Balance for 8255171551994747: 3265091.49
Current Savings Balance for 8028716243309826: 1544996.84
Current Savings Balance for 8028716243309826: 1544996.84
Current Savings Balance for 6847226299857821: 437112.26
Current Savings Balance for 4659001911688512: 590373.89
Current Savings Balance for 1093278990669429: 1066642.57
Current Savings Balance for 7966380955913694: 2982043.49
Current Savings Balance for 8255171551994747: 3264668.19
Current Savings Balance for 0793710490620664: 4630617.30
Current Savings Balance for 0793710490620664: 4631320.74
Current Savings Balance for 8028716243309826: 1546900.07
Current Savings Balance for 2076962079974167: 4094725.76
Current Savings Balance for 9980216556183046: 2271901.19
Current Savings Balance for 8028716243309826: 1547710.85
Current Savings Balance for 1093278990669429: 1069352.35
Current Savings Balance for 8028716243309826: 1547710.85
Current Savings Balance for 8028716243309826: 1546761.73
Current Savings Balance for 6847226299857821: 443394.98
Current Savings Balance for 1093278990669429: 1069001.12
Current Savings Balance for 8255171551994747: 3265315.39
Current Savings Balance for 7966380955913694: 2978850.36
Current Savings Balance for 8028716243309826: 1550291.32
Current Savings Balance for 7966380955913694: 2978210.11
Current Savings Balance for 8255171551994747: 3267425.06
Current Savings Balance for 3491588839892013: 4002618.22
Current Savings Balance for 4659001911688512: 582168.51
Current Savings Balance for 8028716243309826: 1551213.69
Current Savings Balance for 3491588839892013: 4006906.72
Current Savings Balance for 6847226299857821: 436129.83
Current Savings Balance for 1093278990669429: 1080923.77
Current Savings Balance for 6847226299857821: 436129.83
Current Savings Balance for 6847226299857821: 436129.83
Current Savings Balance for 3491588839892013: 4005862.22
Current Savings Balance for 1093278990669429: 1080172.66
Current Savings Balance for 2076962079974167: 4095780.02
Current Savings Balance for 2076962079974167: 4095510.27
Current Savings Balance for 3491588839892013: 4001596.99
Current Savings Balance for 2076962079974167: 4093498.54
Current Savings Balance for 0793710490620664: 4624521.72
Current Savings Balance for 3491588839892013: 4002217.94
Current Savings Balance for 9980216556183046: 2267561.46
Current Savings Balance for 9980216556183046: 2267561.46
Current Savings Balance for 8028716243309826: 1549689.45
Current Savings Balance for 8255171551994747: 3251151.65
Current Savings Balance for 1093278990669429: 1088758.30
Current Savings Balance for 1093278990669429: 1088758.30
Current Savings Balance for 8028716243309826: 1549689.45
Current Savings Balance for 0793710490620664: 4626926.57
Current Savings Balance for 4659001911688512: 585154.42
Current Savings Balance for 3491588839892013: 3998507.78
Current Savings Balance for 7966380955913694: 2974624.97
Current Savings Balance for 7966380955913694: 2974405.79
Current Savings Balance for 9980216556183046: 2269875.48
Current Savings Balance for 6847226299857821: 436447.17
Current Savings Balance for 6847226299857821: 436447.17
Current Savings Balance for 4659001911688512: 586429.31
Current Savings Balance for 8255171551994747: 3249097.76
Current Savings Balance for 0793710490620664: 4625190.54
Current Savings Balance for 4659001911688512: 587857.68
Current Savings Balance for 8028716243309826: 1550978.06
Current Savings Balance for 6847226299857821: 444325.36
Current Savings Balance for 8028716243309826: 1552702.61
Current Savings Balance for 3491588839892013: 3997302.23
Current Savings Balance for 6847226299857821: 445939.02
Current Savings Balance for 2076962079974167: 4092644.02
Current Savings Balance for 7966380955913694: 2973334.80
Current Savings Balance for 2076962079974167: 4090812.99
Current Savings Balance for 1093278990669429: 1091236.89
Current Savings Balance for 6847226299857821: 445370.95
Current Savings Balance for 6847226299857821: 445370.95
Current Savings Balance for 2076962079974167: 4089772.98
Current Savings Balance for 9980216556183046: 2268401.66
Current Savings Balance for 8255171551994747: 3245393.57
Current Savings Balance for 8028716243309826: 1551519.03
Current Savings Balance for 4659001911688512: 591009.00
Current Savings Balance for 8255171551994747: 3243125.76
Current Savings Balance for 6847226299857821: 446876.49
Current Savings Balance for 8255171551994747: 3244207.89
Current Savings Balance for 6847226299857821: 448518.69
Current Savings Balance for 7966380955913694: 2976709.68
Current Savings Balance for 2076962079974167: 4094169.93
Current Savings Balance for 8028716243309826: 1553518.85
Current Savings Balance for 8028716243309826: 1553518.85
Current Savings Balance for 9980216556183046: 2269165.28
Current Savings Balance for 9980216556183046: 2269165.28
Current Savings Balance for 0793710490620664: 4610209.49
Current Savings Balance for 1093278990669429: 1094367.02
Current Savings Balance for 1093278990669429: 1094367.02
Current Savings Balance for 3491588839892013: 3997493.44
Current Savings Balance for 8028716243309826: 1553518.85
Current Savings Balance for 8255171551994747: 3248648.71
Current Savings Balance for 2076962079974167: 4095762.65
Current Savings Balance for 1093278990669429: 1095620.48
Current Savings Balance for 1093278990669429: 1093978.47
Current Savings Balance for 9980216556183046: 2271667.09
Current Savings Balance for 7966380955913694: 2974476.01
Current Savings Balance for 8028716243309826: 1557287.01
Current Savings Balance for 1093278990669429: 1096456.54
Current Savings Balance for 8255171551994747: 3249362.00
Current Savings Balance for 8028716243309826: 1556682.14
Current Savings Balance for 4659001911688512: 588544.85
Current Savings Balance for 4659001911688512: 589755.83
Current Savings Balance for 4659001911688512: 590085.14
Current Savings Balance for 0793710490620664: 4610070.69
Current Savings Balance for 8028716243309826: 1556682.14
Current Savings Balance for 8028716243309826: 1556682.14
Current Savings Balance for 4659001911688512: 591690.44
Current Savings Balance for 2076962079974167: 4095074.77
Current Savings Balance for 2076962079974167: 4095074.77
Current Savings Balance for 8028716243309826: 1556682.14
Current Savings Balance for 4659001911688512: 591789.63
Current Savings Balance for 7966380955913694: 2970410.47
Current Savings Balance for 0793710490620664: 4611240.74
Current Savings Balance for 8255171551994747: 3253524.03
Current Savings Balance for 0793710490620664: 4615179.15
Current Savings Balance for 7966380955913694: 2968722.05
Current Savings Balance for 3491588839892013: 3994948.75
Current Savings Balance for 6847226299857821: 451586.80
Current Savings Balance for 6847226299857821: 449017.72
Current Savings Balance for 2076962079974167: 4095670.81
Current Savings Balance for 8028716243309826: 1557912.96
Current Savings Balance for 9980216556183046: 2270522.74
Current Savings Balance for 6847226299857821: 445528.59
Current Savings Balance for 8255171551994747: 3253744.21
Current Savings Balance for 8028716243309826: 1557912.96
Current Savings Balance for 6847226299857821: 445528.59
Current Savings Balance for 3491588839892013: 3991281.53
Current Savings Balance for 3491588839892013: 3991281.53
Current Savings Balance for 2076962079974167: 4097440.80
Current Savings Balance for 9980216556183046: 2270453.91
Current Savings Balance for 8255171551994747: 3253371.62
Current Savings Balance for 6847226299857821: 454026.23
Current Savings Balance for 8255171551994747: 3250958.58
Current Savings Balance for 7966380955913694: 2968348.27
Current Savings Balance for 6847226299857821: 452935.26
Current Savings Balance for 2076962079974167: 4094517.85
Current Savings Balance for 9980216556183046: 2270864.43
Current Savings Balance for 2076962079974167: 4093094.64
Current Savings Balance for 0793710490620664: 4615493.39
Current Savings Balance for 1093278990669429: 1098319.16
Current Savings Balance for 4659001911688512: 590210.43
Current Savings Balance for 8028716243309826: 1561841.71
Current Savings Balance for 2076962079974167: 4084168.96
Current Savings Balance for 7966380955913694: 2973525.78
Current Savings Balance for 9980216556183046: 2269735.62
Current Savings Balance for 6847226299857821: 449416.17
Current Savings Balance for 4659001911688512: 590488.00
Current Savings Balance for 9980216556183046: 2271945.27
Current Savings Balance for 8255171551994747: 3246552.27
Current Savings Balance for 9980216556183046: 2272377.31
Current Savings Balance for 2076962079974167: 4083163.78
Current Savings Balance for 9980216556183046: 2274107.60
Current Savings Balance for 4659001911688512: 588863.48
Current Savings Balance for 8028716243309826: 1560355.84
Current Savings Balance for 2076962079974167: 4086258.44
Current Savings Balance for 1093278990669429: 1103494.37
Current Savings Balance for 9980216556183046: 2273024.76
Current Savings Balance for 8028716243309826: 1561846.89
Current Savings Balance for 3491588839892013: 3994169.07
Current Savings Balance for 8028716243309826: 1563280.63
Current Savings Balance for 8028716243309826: 1563280.63
Current Savings Balance for 9980216556183046: 2276614.71
Current Savings Balance for 7966380955913694: 2964467.77
Current Savings Balance for 6847226299857821: 460234.83
Current Savings Balance for 4659001911688512: 581379.47
Current Savings Balance for 8255171551994747: 3245479.19
Current Savings Balance for 0793710490620664: 4611592.61
Current Savings Balance for 8255171551994747: 3248935.83
Current Savings Balance for 3491588839892013: 3992093.69
Current Savings Balance for 4659001911688512: 575765.14
Current Savings Balance for 9980216556183046: 2279756.27
Current Savings Balance for 0793710490620664: 4610905.81
Current Savings Balance for 2076962079974167: 4080332.30
Current Savings Balance for 6847226299857821: 462617.71
Current Savings Balance for 6847226299857821: 462617.71
Current Savings Balance for 4659001911688512: 574841.21
Current Savings Balance for 8255171551994747: 3242362.79
Current Savings Balance for 4659001911688512: 571597.23
Current Savings Balance for 8255171551994747: 3239210.91
Current Savings Balance for 3491588839892013: 3993292.37
Current Savings Balance for 2076962079974167: 4080937.60
Current Savings Balance for 2076962079974167: 4080937.60
Current Savings Balance for 9980216556183046: 2275300.32
Current Savings Balance for 9980216556183046: 2274309.22
Current Savings Balance for 8028716243309826: 1567461.49
Current Savings Balance for 2076962079974167: 4082104.39
Current Savings Balance for 9980216556183046: 2272451.11
Current Savings Balance for 4659001911688512: 571635.54
Current Savings Balance for 6847226299857821: 473278.34
Current Savings Balance for 3491588839892013: 3993864.16
Current Savings Balance for 2076962079974167: 4085830.64
Current Savings Balance for 6847226299857821: 473278.34
Current Savings Balance for 4659001911688512: 567377.56
Current Savings Balance for 8028716243309826: 1568728.03
Current Savings Balance for 9980216556183046: 2278074.62
Current Savings Balance for 1093278990669429: 1106019.84
Current Savings Balance for 6847226299857821: 470670.46
Current Savings Balance for 3491588839892013: 3989891.58
Current Savings Balance for 8028716243309826: 1571136.10
Current Savings Balance for 9980216556183046: 2274188.87
Current Savings Balance for 2076962079974167: 4081472.02
Current Savings Balance for 1093278990669429: 1101225.06
Current Savings Balance for 9980216556183046: 2270100.67
Current Savings Balance for 6847226299857821: 475149.32
Current Savings Balance for 2076962079974167: 4077692.92
Current Savings Balance for 9980216556183046: 2270009.08
Current Savings Balance for 1093278990669429: 1102016.53
Current Savings Balance for 8028716243309826: 1572785.64
Current Savings Balance for 9980216556183046: 2269403.61
Current Savings Balance for 0793710490620664: 4606137.01
Current Savings Balance for 6847226299857821: 473458.14
Current Savings Balance for 8028716243309826: 1575429.03
Current Savings Balance for 6847226299857821: 473458.14
Current Savings Balance for 8028716243309826: 1575429.03
Current Savings Balance for 9980216556183046: 2266346.63
Current Savings Balance for 9980216556183046: 2267237.52
Current Savings Balance for 1093278990669429: 1100385.44
Current Savings Balance for 8255171551994747: 3244564.25
Current Savings Balance for 9980216556183046: 2266212.28
Current Savings Balance for 3491588839892013: 3979918.64
Current Savings Balance for 3491588839892013: 3979833.58
Current Savings Balance for 0793710490620664: 4598572.06
Current Savings Balance for 1093278990669429: 1099167.56
Current Savings Balance for 7966380955913694: 2970356.43
Current Savings Balance for 1093278990669429: 1095602.47
Current Savings Balance for 4659001911688512: 564703.31
Current Savings Balance for 6847226299857821: 481038.21
Current Savings Balance for 6847226299857821: 481038.21
Current Savings Balance for 3491588839892013: 3977311.05
Current Savings Balance for 7966380955913694: 2971538.64
Current Savings Balance for 6847226299857821: 483555.80
Current Savings Balance for 7966380955913694: 2966237.88
Current Savings Balance for 1093278990669429: 1098872.31
Current Savings Balance for 1093278990669429: 1098692.63
Current Savings Balance for 7966380955913694: 2961395.75
Current Savings Balance for 4659001911688512: 572236.74
Current Savings Balance for 9980216556183046: 2273689.64
Current Savings Balance for 1093278990669429: 1094816.27
Current Savings Balance for 9980216556183046: 2268065.11
Current Savings Balance for 7966380955913694: 2957392.26
Current Savings Balance for 4659001911688512: 575635.75
Current Savings Balance for 8255171551994747: 3245460.05
Current Savings Balance for 2076962079974167: 4078478.70
Current Savings Balance for 4659001911688512: 577271.50
Current Savings Balance for 8028716243309826: 1579989.42
Current Savings Balance for 8028716243309826: 1579989.42
Current Savings Balance for 9980216556183046: 2263904.03
Current Savings Balance for 1093278990669429: 1095489.44
Current Savings Balance for 9980216556183046: 2261616.24
Current Savings Balance for 9980216556183046: 2262111.30
Current Savings Balance for 7966380955913694: 2953092.21
Current Savings Balance for 1093278990669429: 1094879.59
Current Savings Balance for 7966380955913694: 2953092.21
Current Savings Balance for 9980216556183046: 2266453.51
Current Savings Balance for 8255171551994747: 3246269.57
Current Savings Balance for 3491588839892013: 3971349.64
Current Savings Balance for 6847226299857821: 485445.23
Current Savings Balance for 0793710490620664: 4593485.73
Current Savings Balance for 8255171551994747: 3245568.57
Current Savings Balance for 6847226299857821: 485085.92
Current Savings Balance for 6847226299857821: 485476.80
Current Savings Balance for 1093278990669429: 1098476.29
Current Savings Balance for 8028716243309826: 1580234.44
Current Savings Balance for 9980216556183046: 2271712.32
Current Savings Balance for 6847226299857821: 484861.07
Current Savings Balance for 8028716243309826: 1580405.60
Current Savings Balance for 8255171551994747: 3242397.39
Current Savings Balance for 8028716243309826: 1580405.60
Current Savings Balance for 3491588839892013: 3975815.95
Current Savings Balance for 2076962079974167: 4057603.98
Current Savings Balance for 8028716243309826: 1581268.70
Current Savings Balance for 8255171551994747: 3238225.15
Current Savings Balance for 1093278990669429: 1104202.48
Current Savings Balance for 3491588839892013: 3979525.80
Current Savings Balance for 3491588839892013: 3979525.80
